Time, Aircraft mass
 122.927767, 19496.615137
 122.929434, 19496.601782
 122.931101, 19496.588428
 122.932767, 19496.575073
 122.934434, 19496.561718
 122.936101, 19496.548363
 122.937767, 19496.535009
 122.939434, 19496.521654
 122.941101, 19496.508299
 122.942767, 19496.494942
 122.944434, 19496.481586
 122.946101, 19496.468229
 122.947767, 19496.454872
 122.949434, 19496.441515
 122.951101, 19496.428158
 122.952767, 19496.414801
 122.954434, 19496.401445
 122.956101, 19496.388088
 122.957767, 19496.374731
 122.959434, 19496.361372
 122.961101, 19496.348013
 122.962767, 19496.334655
 122.964434, 19496.321296
 122.966101, 19496.307937
 122.967767, 19496.294578
 122.969434, 19496.281219
 122.971101, 19496.267860
 122.972767, 19496.254501
 122.974434, 19496.241142
 122.976101, 19496.227781
 122.977767, 19496.214420
 122.979434, 19496.201059
 122.981101, 19496.187699
 122.982767, 19496.174338
 122.984434, 19496.160977
 122.986101, 19496.147616
 122.987767, 19496.134255
 122.989434, 19496.120894
 122.991101, 19496.107533
 122.992767, 19496.094170
 122.994434, 19496.080807
 122.996101, 19496.067444
 122.997767, 19496.054081
 122.999434, 19496.040718
 123.001101, 19496.027355
 123.002767, 19496.013992
 123.004434, 19496.000629
 123.006101, 19495.987266
 123.007767, 19495.973903
 123.009434, 19495.960538
 123.011101, 19495.947173
 123.012767, 19495.933808
 123.014434, 19495.920442
 123.016101, 19495.907077
 123.017767, 19495.893712
 123.019434, 19495.880347
 123.021101, 19495.866982
 123.022767, 19495.853617
 123.024434, 19495.840252
 123.026101, 19495.826885
 123.027767, 19495.813518
 123.029434, 19495.800151
 123.031101, 19495.786783
 123.032767, 19495.773416
 123.034434, 19495.760049
 123.036101, 19495.746682
 123.037767, 19495.733315
 123.039434, 19495.719947
 123.041101, 19495.706580
 123.042767, 19495.693211
 123.044434, 19495.679842
 123.046101, 19495.666473
 123.047767, 19495.653104
 123.049434, 19495.639734
 123.051101, 19495.626365
 123.052767, 19495.612996
 123.054434, 19495.599627
 123.056101, 19495.586257
 123.057767, 19495.572888
 123.059434, 19495.559517
 123.061101, 19495.546146
 123.062767, 19495.532775
 123.064434, 19495.519403
 123.066101, 19495.506032
 123.067767, 19495.492661
 123.069434, 19495.479290
 123.071101, 19495.465918
 123.072767, 19495.452547
 123.074434, 19495.439176
 123.076101, 19495.425803
 123.077767, 19495.412430
 123.079434, 19495.399056
 123.081101, 19495.385683
