Time, Energies
   2.053907, 32332276.162337
   2.053935, 32388222.518072
   2.053963, 32444169.235095
   2.053991, 32500116.313406
   2.054018, 32556063.753004
   2.054046, 32611997.012244
   2.054074, 32667927.743516
   2.054102, 32723858.776567
   2.054129, 32779790.111398
   2.054157, 32835721.748009
   2.054185, 32891653.686400
   2.054213, 32947585.926571
   2.054241, 33003518.468522
   2.054268, 33059451.312253
   2.054296, 33115384.457764
   2.054324, 33171270.921033
   2.054352, 33227148.353871
   2.054379, 33283025.899457
   2.054407, 33338903.557790
   2.054435, 33394781.328871
   2.054463, 33450659.212700
   2.054491, 33506537.209276
   2.054518, 33562415.318599
   2.054546, 33618293.540671
   2.054574, 33674171.875489
   2.054602, 33730043.511993
   2.054629, 33785913.908813
   2.054657, 33841784.391431
   2.054685, 33897654.959847
   2.054713, 33953525.614061
   2.054741, 34009396.354073
   2.054768, 34065267.179883
   2.054796, 34121138.091491
   2.054824, 34177009.088897
   2.054852, 34232880.172102
   2.054879, 34288753.559474
   2.054907, 34344627.473002
   2.054935, 34400501.480962
   2.054963, 34456375.583354
   2.054991, 34512249.780180
   2.055018, 34568124.071438
   2.055046, 34623998.457128
   2.055074, 34679872.937251
   2.055102, 34735747.511807
   2.055129, 34791622.180795
   2.055157, 34847525.774231
   2.055185, 34903435.183344
   2.055213, 34959344.797307
   2.055241, 35015254.616118
   2.055268, 35071164.639777
   2.055296, 35127074.868286
   2.055324, 35182985.301643
   2.055352, 35238895.939850
   2.055379, 35294806.782905
   2.055407, 35350717.830808
   2.055435, 35406615.501716
   2.055463, 35462510.682943
   2.055491, 35518406.017821
   2.055518, 35574301.506352
   2.055546, 35630197.148535
   2.055574, 35686092.944370
   2.055602, 35741988.893856
   2.055629, 35797884.996995
   2.055657, 35853781.253786
   2.055685, 35909677.664230
   2.055713, 35965607.958258
   2.055741, 36021545.095877
   2.055768, 36077482.512318
   2.055796, 36133420.207582
   2.055824, 36189358.181668
   2.055852, 36245296.434577
   2.055879, 36301234.966309
   2.055907, 36357173.776863
   2.055935, 36413112.866240
   2.055963, 36469052.234440
   2.055991, 36524972.138807
   2.056018, 36580888.407302
   2.056046, 36636804.882475
   2.056074, 36692721.564327
   2.056102, 36748638.452857
   2.056129, 36804555.548066
